Time [UTC], Temp OB [C], Temp RTC [C], Bat [V], Distace [mm], Pressure Atmos [mBar], Humidity [%], Temp Atmos [C],
2019/01/03 13:39:09,6.97,8.00,4.54,-500,583.13,75.51,7.75,
2019/01/03 13:40:00,7.08,8.00,4.43,-500,583.49,73.54,8.20,
2019/01/03 13:41:00,7.19,8.25,4.32,-5000,583.06,72.68,8.15,
2019/01/03 13:42:00,7.19,8.25,4.56,-500,583.30,72.51,8.19,
2019/01/03 13:43:00,7.30,8.25,4.49,962,583.38,71.60,8.34,
2019/01/03 13:44:00,7.30,8.25,4.43,959,583.49,71.83,8.55,
2019/01/03 13:45:00,7.30,8.25,4.50,960,583.13,71.17,8.77,
2019/01/03 13:46:00,7.41,8.25,4.54,960,583.21,70.44,8.99,
2019/01/03 13:47:00,7.41,8.25,4.54,-500,583.25,70.52,8.95,
