Lib = 0.3.0 SN = FFFF-FFFF-FFFF-FFFF
Time [UTC],PresOB [mBar],RH_OB [%],TempOB [C],Temp RTC [C],Bat [V],Humidity [%],Temp Atmos [C],Distance [mm],
2020/02/24 03:51:12,949.04,13.28,5.80,6.25,4.81,58.94,8.49,662,
2020/02/24 03:56:12,949.19,13.18,5.95,6.50,4.81,58.09,8.44,667,
2020/02/24 04:01:12,949.45,13.14,6.06,6.50,4.81,58.95,8.37,662,
2020/02/24 04:06:12,949.14,12.79,6.06,6.50,4.81,60.57,8.06,645,
2020/02/24 04:11:12,949.65,12.52,5.87,6.50,4.81,58.13,8.28,649,
2020/02/24 04:16:12,949.63,12.74,5.86,6.50,4.81,58.19,8.24,649,
2020/02/24 04:21:12,949.53,12.71,5.85,6.25,4.81,56.20,8.28,648,
2020/02/24 04:26:12,949.60,12.75,5.81,6.25,4.80,55.33,8.62,657,
2020/02/24 04:31:12,949.59,12.76,5.95,6.50,4.81,60.53,7.72,653,
2020/02/24 04:36:12,949.48,12.63,5.90,6.50,4.81,60.00,8.20,657,
2020/02/24 04:41:12,949.51,12.51,5.82,6.25,4.81,61.51,7.79,656,
2020/02/24 04:46:12,949.39,12.58,5.73,6.25,4.81,60.68,8.35,653,
2020/02/24 04:51:12,949.42,12.48,5.68,6.25,4.81,62.12,7.85,657,
2020/02/24 04:56:12,949.55,12.51,5.59,6.00,4.81,62.32,7.81,656,
2020/02/24 05:01:12,949.66,12.50,5.49,6.00,4.81,63.13,7.71,654,
2020/02/24 05:06:12,949.78,12.43,5.40,6.00,4.81,64.65,7.26,655,
2020/02/24 05:11:12,949.95,12.50,5.32,5.75,4.81,63.86,7.97,658,
2020/02/24 05:16:12,949.60,12.38,5.30,5.75,4.81,62.49,7.42,656,
2020/02/24 05:21:12,949.87,12.28,5.14,5.75,4.81,61.29,7.82,657,
2020/02/24 05:26:12,949.69,12.45,5.13,5.75,4.81,60.30,7.91,658,
2020/02/24 05:31:12,949.72,12.48,5.12,5.50,4.81,61.77,7.35,660,
2020/02/24 05:36:12,949.71,12.69,5.15,5.75,4.81,62.51,7.36,660,
2020/02/24 05:41:12,950.03,12.67,5.17,5.75,4.81,62.00,7.71,664,
2020/02/24 05:46:12,950.21,12.53,5.14,5.50,4.81,60.94,7.54,661,
2020/02/24 05:51:12,950.07,12.70,5.16,5.75,4.81,60.47,7.66,658,
2020/02/24 05:56:12,950.29,12.55,5.18,5.75,4.81,60.78,7.44,661,
2020/02/24 06:01:12,950.40,12.57,5.21,5.75,4.81,60.13,7.44,644,
2020/02/24 06:06:12,950.51,12.63,5.22,5.75,4.81,58.93,7.50,637,
2020/02/24 06:11:12,950.39,12.59,5.20,5.75,4.81,58.74,7.67,642,
2020/02/24 06:16:12,950.55,12.42,5.14,5.75,4.81,60.60,7.32,655,
2020/02/24 06:21:12,950.43,12.43,5.06,5.50,4.81,60.98,7.12,647,
2020/02/24 06:26:12,950.17,12.42,4.99,5.50,4.81,59.09,7.28,642,
2020/02/24 06:31:12,950.18,12.48,4.93,5.50,4.81,58.40,7.12,643,
2020/02/24 06:36:12,950.07,12.32,4.85,5.50,4.81,57.04,6.78,641,
2020/02/24 06:41:12,950.40,12.72,4.94,5.50,4.81,52.60,7.72,647,
2020/02/24 06:46:12,949.97,12.57,5.06,5.50,4.80,58.49,6.48,649,
2020/02/24 06:51:12,950.20,12.38,4.96,5.50,4.81,61.07,6.38,666,
2020/02/24 06:56:12,950.12,12.28,4.75,5.25,4.81,61.25,6.59,651,
2020/02/24 07:01:12,950.46,12.07,4.49,5.00,4.81,66.00,6.00,648,
2020/02/24 07:06:12,950.68,12.04,4.17,4.75,4.81,65.37,6.03,651,
2020/02/24 07:11:12,950.58,11.95,4.00,4.50,4.80,64.73,6.02,655,
2020/02/24 07:16:12,950.72,11.88,3.90,4.50,4.81,66.10,5.80,647,
2020/02/24 07:21:12,950.68,11.79,3.84,4.50,4.81,67.98,5.77,659,
2020/02/24 07:26:12,951.01,11.71,3.77,4.25,4.81,66.24,5.75,655,
2020/02/24 07:31:12,951.09,11.81,3.82,4.50,4.81,64.11,6.06,631,
2020/02/24 07:36:12,951.25,11.66,3.83,4.50,4.81,66.68,5.81,657,
2020/02/24 07:41:12,951.05,11.69,3.83,4.50,4.81,65.09,6.07,9999,
2020/02/24 07:46:12,951.09,11.66,3.86,4.25,4.81,64.65,6.04,652,
2020/02/24 07:51:12,951.02,11.61,3.87,4.25,4.81,67.89,5.54,654,
2020/02/24 07:56:12,951.18,11.54,3.77,4.25,4.81,65.93,5.96,653,
2020/02/24 08:01:12,951.05,11.65,3.79,4.25,4.81,65.92,5.93,654,
2020/02/24 08:06:12,951.07,11.59,3.84,4.50,4.81,66.85,5.85,657,
2020/02/24 08:11:12,951.26,11.54,3.82,4.25,4.81,66.70,5.91,654,
2020/02/24 08:16:12,951.20,11.53,3.76,4.25,4.81,67.19,5.81,655,
2020/02/24 08:21:12,951.19,11.53,3.77,4.25,4.81,65.22,5.91,655,
2020/02/24 08:26:12,950.97,11.47,3.75,4.25,4.81,66.59,5.65,654,
2020/02/24 08:31:12,951.32,11.54,3.74,4.25,4.81,63.72,6.30,655,
2020/02/24 08:36:12,951.22,11.52,3.79,4.25,4.80,63.69,6.06,654,
2020/02/24 08:41:12,951.17,11.45,3.78,4.25,4.81,63.87,5.92,655,
2020/02/24 08:46:12,951.02,11.46,3.73,4.25,4.81,65.22,6.02,656,
2020/02/24 08:51:12,951.18,11.45,3.75,4.25,4.81,63.96,6.19,658,
2020/02/24 08:56:12,951.08,11.44,3.78,4.25,4.81,64.50,6.06,662,
2020/02/24 09:01:12,951.15,11.41,3.77,4.25,4.81,63.96,6.10,654,
