Lib = 0.3.0 SN = FFFF-FFFF-FFFF-FFFF
Time [UTC],PresOB [mBar],RH_OB [%],TempOB [C],Temp RTC [C],Bat [V],Humidity [%],Temp Atmos [C],Distance [mm],
2020/02/23 21:31:31,949.77,43.11,8.19,9.00,4.78,58.45,8.46,716,
2020/02/23 21:36:30,949.72,15.19,7.98,8.75,4.80,57.16,8.60,710,
2020/02/23 21:41:30,949.86,11.20,7.83,8.50,4.79,59.25,7.90,709,
2020/02/23 21:46:30,949.60,9.33,7.67,8.50,4.79,59.11,8.32,715,
2020/02/23 21:51:30,950.03,8.72,7.49,8.25,4.80,61.61,7.68,713,
2020/02/23 21:56:30,949.83,8.40,7.49,8.50,4.80,59.09,8.31,707,
2020/02/23 22:01:30,949.34,8.03,7.66,8.50,4.80,60.22,8.11,711,
2020/02/23 22:06:30,949.65,7.73,7.67,8.50,4.80,57.37,8.27,714,
2020/02/23 22:11:30,949.54,7.61,7.65,8.50,4.80,56.34,8.59,713,
2020/02/23 22:16:30,949.32,7.45,7.66,8.50,4.80,56.93,8.36,713,
2020/02/23 22:21:30,949.17,7.00,7.49,8.50,4.80,60.23,7.67,711,
2020/02/23 22:26:30,949.53,6.78,7.27,8.00,4.80,56.47,8.21,715,
2020/02/23 22:31:30,949.36,6.90,7.10,8.00,4.80,59.72,7.95,713,
2020/02/23 22:36:30,949.62,6.75,6.98,7.75,4.80,59.17,7.75,712,
2020/02/23 22:41:30,949.32,6.84,6.84,7.75,4.80,60.88,7.46,711,
2020/02/23 22:46:30,949.21,6.76,6.63,7.50,4.80,61.91,7.26,712,
2020/02/23 22:51:30,949.38,6.75,6.40,7.25,4.80,62.78,7.20,712,
2020/02/23 22:56:30,949.40,6.71,6.27,7.25,4.80,62.18,7.20,710,
2020/02/23 23:01:30,949.35,6.66,6.18,7.00,4.80,61.42,7.44,712,
2020/02/23 23:06:30,949.23,6.63,6.09,7.00,4.80,62.43,7.21,709,
2020/02/23 23:11:30,949.21,6.56,6.00,6.75,4.80,63.14,7.35,709,
2020/02/23 23:16:30,948.90,6.56,5.93,6.75,4.80,63.62,6.85,712,
2020/02/23 23:21:30,948.85,6.64,5.99,7.00,4.80,61.65,7.30,719,
