Lib = 0.3.0 SN = FFFF-FFFF-FFFF-FFFF
Time [UTC], PresOB [mBar], RH_OB [%], TempOB [C], Temp RTC [C], Bat [V], Anemometer revolutions [number],
2020/02/20 13:05:01,998.14,22.29,26.05,26.75,2.76,0,
2020/02/20 13:05:06,998.20,22.08,26.11,26.75,2.76,0,
2020/02/20 13:05:11,998.23,22.03,25.98,27.00,2.76,0,
2020/02/20 13:05:16,998.17,21.98,25.97,27.00,2.77,0,
2020/02/20 13:05:21,998.17,22.04,25.96,27.00,2.76,0,
2020/02/20 13:05:26,998.16,22.10,25.94,27.00,2.76,0,
2020/02/20 13:05:31,998.13,22.18,25.92,26.75,2.76,0,
2020/02/20 13:05:36,998.15,22.12,25.90,26.75,2.77,0,
2020/02/20 13:05:41,998.17,22.01,25.89,26.75,2.76,0,
2020/02/20 13:05:46,998.17,22.01,25.88,27.00,2.76,190,
2020/02/20 13:05:51,998.17,21.98,25.87,26.75,2.77,213,
2020/02/20 13:05:56,998.13,22.11,25.86,27.00,2.77,193,
2020/02/20 13:06:01,998.16,22.12,25.86,26.75,2.76,0,
2020/02/20 13:06:06,998.18,22.04,25.86,26.75,2.76,0,
2020/02/20 13:06:11,998.19,22.03,25.85,26.75,2.76,0,
2020/02/20 13:06:16,998.16,22.04,25.85,27.00,2.77,1,
2020/02/20 13:06:21,998.17,22.03,25.83,26.75,2.76,10,
2020/02/20 13:06:26,998.17,22.05,25.82,27.00,2.76,0,
2020/02/20 13:06:31,998.17,22.08,25.82,26.75,2.76,0,
2020/02/20 13:06:36,998.18,22.20,25.81,26.75,2.76,0,
2020/02/20 13:06:41,998.13,22.21,25.82,26.75,2.77,0,
2020/02/20 13:06:46,998.11,22.27,25.81,27.00,2.76,0,
2020/02/20 13:06:51,998.16,22.20,25.81,26.75,2.77,0,
2020/02/20 13:06:56,998.21,22.15,25.81,26.75,2.76,0,
2020/02/20 13:07:01,998.14,22.21,25.80,26.75,2.76,1,
2020/02/20 13:07:06,998.16,22.06,25.79,27.00,2.77,1,
2020/02/20 13:07:11,998.17,22.14,25.80,26.75,2.76,1,
2020/02/20 13:07:16,998.16,22.15,25.80,26.75,2.76,1,
2020/02/20 13:07:21,998.17,22.23,25.79,26.75,2.76,1,
2020/02/20 13:07:26,998.21,22.27,25.79,26.75,2.77,1,
2020/02/20 13:07:31,998.15,22.24,25.79,26.75,2.77,0,
2020/02/20 13:07:36,998.18,22.27,25.79,26.75,2.77,0,
2020/02/20 13:07:41,998.17,22.24,25.79,26.75,2.77,0,
2020/02/20 13:07:46,998.20,22.32,25.78,26.75,2.77,0,
2020/02/20 13:07:51,998.22,22.15,25.78,26.75,2.77,0,
2020/02/20 13:07:56,998.21,22.07,25.78,26.75,2.76,0,
2020/02/20 13:08:01,998.15,22.11,25.79,26.75,2.76,0,
2020/02/20 13:08:06,998.15,22.26,25.78,26.75,2.76,0,
2020/02/20 13:08:11,998.20,22.27,25.78,26.75,2.76,0,
