Lib = 0.3.0 SN = FFFF-FFFF-FFFF-FFFF
Time [UTC], PresOB [mBar], RH_OB [%], TempOB [C], Temp RTC [C], Bat [V], NumTicks [Cnt], 
2020/02/20 13:35:04,998.32,21.33,25.53,26.50,2.77,0,
2020/02/20 13:35:09,998.27,21.34,25.53,26.50,2.76,0,
2020/02/20 13:35:14,998.26,21.38,25.54,26.50,2.77,0,
2020/02/20 13:35:19,998.26,21.37,25.54,26.50,2.76,0,
2020/02/20 13:35:24,998.26,21.36,25.54,26.50,2.76,0,
2020/02/20 13:35:29,998.29,21.35,25.55,26.50,2.77,0,
2020/02/20 13:35:34,998.23,21.33,25.55,26.50,2.76,0,
2020/02/20 13:35:39,998.26,21.32,25.56,26.50,2.77,0,
2020/02/20 13:35:44,998.27,21.33,25.55,26.50,2.77,0,
2020/02/20 13:35:49,998.24,21.28,25.55,26.50,2.77,0,
2020/02/20 13:35:54,998.28,21.27,25.56,26.50,2.77,0,
2020/02/20 13:35:59,998.27,21.45,25.57,26.50,2.77,0,
2020/02/20 13:36:04,998.28,21.59,25.56,26.50,2.77,0,
2020/02/20 13:36:09,998.25,21.52,25.56,26.50,2.76,0,
2020/02/20 13:36:14,998.28,21.38,25.56,26.50,2.76,0,
2020/02/20 13:36:19,998.25,21.32,25.56,26.75,2.77,0,
2020/02/20 13:36:24,998.29,21.41,25.57,26.75,2.77,0,
2020/02/20 13:36:29,998.25,21.43,25.57,26.50,2.76,0,
2020/02/20 13:36:34,998.22,21.31,25.57,26.50,2.77,0,
2020/02/20 13:36:39,998.21,21.39,25.57,26.50,2.76,0,
2020/02/20 13:36:44,998.19,21.45,25.57,26.50,2.77,0,
2020/02/20 13:36:49,998.26,21.42,25.58,26.75,2.76,0,
2020/02/20 13:36:54,998.27,21.39,25.57,26.75,2.76,0,
2020/02/20 13:36:59,998.28,21.38,25.58,26.50,2.76,0,
2020/02/20 13:37:04,998.29,21.37,25.58,26.50,2.76,0,
2020/02/20 13:37:09,998.26,21.39,25.58,26.75,2.77,0,
2020/02/20 13:37:14,998.22,21.41,25.58,26.75,2.76,0,
2020/02/20 13:37:19,998.25,21.37,25.57,26.50,2.77,0,
2020/02/20 13:37:24,998.25,21.39,25.58,26.50,2.77,0,
2020/02/20 13:37:29,998.25,21.40,25.59,26.50,2.76,0,
2020/02/20 13:37:34,998.26,21.35,25.59,26.50,2.76,0,
2020/02/20 13:37:39,998.26,21.28,25.59,26.50,2.76,0,
2020/02/20 13:37:44,998.25,21.27,25.59,26.50,2.76,0,
2020/02/20 13:37:49,998.20,21.27,25.59,26.50,2.77,0,
2020/02/20 13:37:54,998.29,21.25,25.59,26.50,2.76,0,
2020/02/20 13:37:59,998.23,21.27,25.60,26.50,2.77,0,
2020/02/20 13:38:04,998.23,21.26,25.61,26.50,2.76,0,
2020/02/20 13:38:09,998.18,21.27,25.60,26.75,2.76,0,
2020/02/20 13:38:14,998.21,21.27,25.61,26.75,2.77,0,
2020/02/20 13:38:19,998.20,21.34,25.60,26.50,2.76,0,
2020/02/20 13:38:24,998.23,21.35,25.61,26.50,2.77,0,
2020/02/20 13:38:29,998.24,21.34,25.60,26.50,2.76,0,
2020/02/20 13:38:34,998.23,21.54,25.60,26.50,2.76,0,
2020/02/20 13:38:39,998.21,21.65,25.60,26.50,2.77,0,
2020/02/20 13:38:44,998.24,21.59,25.60,26.50,2.77,0,
2020/02/20 13:38:49,998.23,21.60,25.61,26.75,2.76,0,
2020/02/20 13:38:54,998.23,21.67,25.61,26.75,2.76,0,
2020/02/20 13:38:59,998.19,21.79,25.62,26.75,2.77,0,
2020/02/20 13:39:04,998.21,21.94,25.62,26.75,2.76,0,
2020/02/20 13:39:09,998.24,21.84,25.63,26.50,2.77,0,
2020/02/20 13:39:14,998.17,21.96,25.63,26.50,2.77,0,
2020/02/20 13:39:19,998.21,22.07,25.62,26.50,2.76,0,
2020/02/20 13:39:24,998.21,21.92,25.63,26.50,2.77,0,
2020/02/20 13:39:29,998.20,21.75,25.63,26.50,2.77,0,
2020/02/20 13:39:34,998.24,21.61,25.63,26.50,2.77,0,
2020/02/20 13:39:39,998.11,21.54,25.62,26.75,2.76,0,
