Lib = 0.3.0 SN = FFFF-FFFF-FFFF-FFFF
Time [UTC], PresOB [mBar], RH_OB [%], TempOB [C], Temp RTC [C], Bat [V], Anemometer revolutions [number],
2020/02/20 12:21:05,998.08,22.63,25.54,26.50,2.76,0,
2020/02/20 12:21:10,998.03,22.63,25.53,26.50,2.76,0,
2020/02/20 12:21:15,998.09,22.65,25.53,26.50,2.76,0,
2020/02/20 12:21:20,998.04,22.63,25.53,26.50,2.76,0,
2020/02/20 12:21:25,998.08,22.54,25.53,26.50,2.76,1,
2020/02/20 12:21:30,998.07,22.51,25.53,26.50,2.76,1,
2020/02/20 12:21:35,998.05,22.42,25.54,26.75,2.76,0,
2020/02/20 12:21:40,998.04,22.38,25.54,26.50,2.76,0,
2020/02/20 12:21:45,998.06,22.39,25.54,26.50,2.76,0,
2020/02/20 12:21:50,998.06,22.67,25.53,26.50,2.76,0,
2020/02/20 12:21:55,998.07,22.60,25.54,26.75,2.76,0,
2020/02/20 12:22:00,998.08,22.53,25.54,26.75,2.77,0,
2020/02/20 12:22:05,998.02,22.40,25.54,26.50,2.76,0,
2020/02/20 12:22:10,998.01,22.34,25.54,26.50,2.76,1,
2020/02/20 12:22:15,998.09,23.12,25.53,26.50,2.76,1,
2020/02/20 12:22:20,998.03,22.92,25.53,26.50,2.77,0,
2020/02/20 12:22:25,998.06,23.13,25.53,26.50,2.76,192,
2020/02/20 12:22:30,998.04,22.99,25.53,26.50,2.77,253,
2020/02/20 12:22:35,998.03,22.83,25.54,26.50,2.77,253,
2020/02/20 12:22:40,998.07,22.85,25.54,26.50,2.76,250,
2020/02/20 12:22:45,998.06,22.86,25.54,26.50,2.76,250,
2020/02/20 12:22:50,998.03,22.86,25.55,26.50,2.76,250,
2020/02/20 12:22:55,998.02,22.91,25.55,26.50,2.76,262,
2020/02/20 12:23:00,998.06,23.29,25.55,26.50,2.76,269,
2020/02/20 12:23:05,998.06,22.72,25.54,26.50,2.76,224,
2020/02/20 12:23:10,998.02,22.54,25.54,26.50,2.76,132,
2020/02/20 12:23:15,998.03,22.43,25.54,26.75,2.76,82,
2020/02/20 12:23:20,998.04,22.74,25.54,26.50,2.76,2,
2020/02/20 12:23:25,998.00,22.81,25.54,26.50,2.76,141,
2020/02/20 12:23:30,998.02,22.73,25.54,26.50,2.76,14,
2020/02/20 12:23:35,998.05,22.77,25.54,26.50,2.76,432,
2020/02/20 12:23:40,998.05,22.69,25.54,26.75,2.76,489,
2020/02/20 12:23:45,998.04,22.46,25.53,26.50,2.77,507,
2020/02/20 12:23:50,998.06,22.38,25.53,26.50,2.76,464,
2020/02/20 12:23:55,998.11,22.34,25.52,26.50,2.76,272,
2020/02/20 12:24:00,998.01,22.20,25.52,26.50,2.76,251,
2020/02/20 12:24:05,998.04,22.19,25.51,26.50,2.76,254,
2020/02/20 12:24:10,997.99,22.21,25.53,26.50,2.76,255,
2020/02/20 12:24:15,998.00,22.21,25.52,26.50,2.77,252,
2020/02/20 12:24:20,998.05,22.22,25.51,26.50,2.76,251,
2020/02/20 12:24:25,998.07,22.24,25.51,26.50,2.76,445,
2020/02/20 12:24:30,998.07,22.27,25.51,26.50,2.76,319,
2020/02/20 12:24:35,998.10,22.26,25.52,26.50,2.77,0,
2020/02/20 12:24:40,997.99,22.24,25.52,26.50,2.76,36,
2020/02/20 12:24:45,998.02,22.19,25.51,26.50,2.76,216,
2020/02/20 12:24:50,998.05,22.20,25.51,26.50,2.76,162,
2020/02/20 12:24:55,998.05,22.18,25.51,26.50,2.76,0,
2020/02/20 12:25:00,998.07,22.18,25.52,26.50,2.77,0,
2020/02/20 12:25:05,998.02,22.28,25.51,26.50,2.76,0,
2020/02/20 12:25:10,998.03,22.22,25.51,26.50,2.76,156,
2020/02/20 12:25:15,998.06,22.29,25.51,26.50,2.76,215,
2020/02/20 12:25:20,998.08,22.42,25.52,26.50,2.76,218,
2020/02/20 12:25:25,998.09,22.52,25.52,26.50,2.76,216,
2020/02/20 12:25:30,998.12,22.63,25.52,26.50,2.76,216,
2020/02/20 12:25:35,998.11,22.62,25.51,26.50,2.76,216,
2020/02/20 12:25:40,998.05,22.73,25.52,26.50,2.76,216,
2020/02/20 12:25:45,998.09,22.79,25.52,26.50,2.76,216,
2020/02/20 12:25:50,998.06,22.60,25.52,26.50,2.76,216,
2020/02/20 12:25:55,998.07,22.55,25.52,26.50,2.77,216,
2020/02/20 12:26:00,998.10,22.58,25.52,26.50,2.76,218,
2020/02/20 12:26:05,998.09,22.44,25.51,26.50,2.76,215,
2020/02/20 12:26:10,998.09,22.46,25.51,26.50,2.76,215,
2020/02/20 12:26:15,998.07,22.47,25.51,26.50,2.76,217,
2020/02/20 12:26:20,998.10,22.47,25.52,26.50,2.76,216,
2020/02/20 12:26:25,998.10,22.47,25.52,26.50,2.76,216,
2020/02/20 12:26:30,998.10,22.50,25.52,26.50,2.76,216,
2020/02/20 12:26:35,998.11,22.55,25.51,26.50,2.77,216,
2020/02/20 12:26:40,998.14,22.62,25.51,26.50,2.76,216,
2020/02/20 12:26:45,998.10,23.39,25.52,26.50,2.76,252,
2020/02/20 12:26:50,998.10,23.97,25.52,26.50,2.76,226,
2020/02/20 12:26:55,998.04,23.44,25.52,26.50,2.76,216,
2020/02/20 12:27:00,998.10,23.19,25.51,26.50,2.77,216,
2020/02/20 12:27:05,998.11,23.18,25.51,26.50,2.76,217,
2020/02/20 12:27:10,998.12,23.08,25.52,26.50,2.76,217,
2020/02/20 12:27:15,998.13,22.96,25.51,26.50,2.76,216,
2020/02/20 12:27:20,998.10,22.82,25.51,26.50,2.77,216,
2020/02/20 12:27:25,998.09,22.75,25.51,26.50,2.77,216,
2020/02/20 12:27:30,998.13,22.83,25.50,26.50,2.76,216,
2020/02/20 12:27:35,998.10,23.09,25.51,26.50,2.76,216,
2020/02/20 12:27:40,998.07,23.31,25.51,26.50,2.76,216,
2020/02/20 12:27:45,998.12,23.16,25.50,26.50,2.77,216,
2020/02/20 12:27:50,998.09,22.97,25.50,26.50,2.76,217,
2020/02/20 12:27:55,998.11,22.96,25.51,26.50,2.76,216,
2020/02/20 12:28:00,998.11,23.04,25.50,26.50,2.77,216,
2020/02/20 12:28:05,998.10,23.17,25.51,26.50,2.76,216,
2020/02/20 12:28:10,998.07,23.15,25.51,26.50,2.77,216,
2020/02/20 12:28:15,998.06,23.15,25.51,26.50,2.76,216,
2020/02/20 12:28:20,998.13,23.11,25.51,26.50,2.76,216,
2020/02/20 12:28:25,998.10,23.21,25.51,26.50,2.76,215,
2020/02/20 12:28:30,998.06,23.55,25.51,26.50,2.76,221,
2020/02/20 12:28:35,998.14,23.98,25.51,26.50,2.76,217,
2020/02/20 12:28:40,998.07,23.74,25.52,26.50,2.76,216,
2020/02/20 12:28:45,998.08,23.59,25.50,26.50,2.77,184,
2020/02/20 12:28:50,998.09,23.64,25.50,26.50,2.76,0,
2020/02/20 12:28:55,998.11,23.66,25.50,26.50,2.76,1,
2020/02/20 12:29:00,998.10,23.59,25.50,26.50,2.77,0,
2020/02/20 12:29:05,998.12,23.34,25.50,26.50,2.77,0,
2020/02/20 12:29:10,998.09,23.27,25.51,26.50,2.77,0,
2020/02/20 12:29:15,998.06,23.28,25.51,26.50,2.76,1,
2020/02/20 12:29:20,998.05,23.28,25.51,26.50,2.76,0,
2020/02/20 12:29:25,998.08,23.21,25.51,26.50,2.76,0,
2020/02/20 12:29:30,998.05,23.17,25.51,26.50,2.76,0,
2020/02/20 12:29:35,998.08,23.18,25.51,26.50,2.77,1,
2020/02/20 12:29:40,998.07,23.19,25.51,26.50,2.77,0,
2020/02/20 12:29:45,998.11,23.18,25.51,26.50,2.77,0,
2020/02/20 12:29:50,998.09,23.25,25.51,26.50,2.76,0,
2020/02/20 12:29:55,998.06,23.23,25.51,26.50,2.76,0,
2020/02/20 12:30:00,998.06,23.26,25.51,26.50,2.77,0,
2020/02/20 12:30:05,998.07,23.16,25.51,26.50,2.77,0,
2020/02/20 12:30:10,998.07,23.07,25.51,26.50,2.77,0,
2020/02/20 12:30:15,998.11,23.15,25.50,26.50,2.77,0,
