Lib = 0.3.0 SN = FFFF-FFFF-FFFF-FFFF
Time [UTC], PresOB [mBar], RH_OB [%], TempOB [C], Temp RTC [C], Bat [V], Anemometer revolutions [number],
2020/02/20 12:03:51,998.14,21.71,26.12,26.75,2.76,170,
2020/02/20 12:03:56,998.10,21.69,26.16,27.00,2.76,0,
2020/02/20 12:04:01,998.08,21.78,26.04,27.00,2.76,0,
2020/02/20 12:04:06,998.06,21.82,26.02,27.00,2.77,180,
2020/02/20 12:04:11,998.09,21.86,26.01,27.00,2.76,95,
2020/02/20 12:04:16,998.09,22.40,25.98,27.00,2.77,184,
2020/02/20 12:04:21,998.02,22.02,25.97,27.00,2.77,21,
2020/02/20 12:04:26,998.05,21.99,25.95,27.00,2.76,216,
2020/02/20 12:04:31,998.06,22.39,25.90,27.00,2.77,113,
2020/02/20 12:04:36,998.10,22.35,25.89,27.00,2.76,0,
2020/02/20 12:04:41,998.08,22.28,25.88,27.00,2.77,0,
2020/02/20 12:04:46,998.12,22.37,25.87,27.00,2.76,0,
2020/02/20 12:04:51,998.07,22.29,25.87,26.75,2.77,20,
