1467074940,21476.92,5.60,0.06,3.36,21380.37,5.70,3.30,2.28,21.06,-8.54,4990,4995,4995,4995,5000,4995.00,
1467074967,21380.37,5.70,0.11,8.59,21284.41,5.81,3.30,2.35,21.06,-6.49,495,495,500,495,490,495.00,
1467074998,21189.03,5.92,0.11,8.27,21189.03,5.92,3.30,2.36,21.06,-6.40,4995,5000,4995,4995,5000,4997.00,
1467075000,21189.03,5.92,0.28,33.28,21094.23,6.02,3.30,2.30,21.06,-7.98,4995,4995,5000,4995,4995,4996.00,
1467076065,19912.28,7.39,0.11,8.34,19738.37,7.60,3.30,3.30,21.06,21.06,4995,4995,4995,4995,5000,5000,5000,5000,5005,4995,4998.00,
1467076077,19912.28,7.39,0.13,10.17,19825.07,7.50,3.30,3.30,21.06,21.06,4995,4995,4995,5000,5000,5000,5000,5000,5005,4995,4998.50,
1467076080,19912.28,7.39,0.17,15.11,19825.07,7.50,3.30,3.30,21.06,21.06,660,655,665,660,660,665,660,675,755,4995,1105.00,
1467076482,19652.17,7.71,0.12,9.03,19566.47,7.81,3.30,3.30,21.06,21.06,4995,4995,5000,4995,4995,5000,4995,4995,5005,5000,4997.50,
1467076489,19652.17,7.71,0.13,10.91,19481.27,7.92,3.30,3.30,21.06,21.06,4995,5000,4995,4995,4995,4990,5000,5000,5005,4995,4997.00,
1467076495,19566.47,7.81,0.13,10.91,19481.27,7.92,3.30,3.30,21.06,21.06,4995,4995,5000,4995,4995,5000,4995,5000,5000,4995,4997.00,
1467076500,19566.47,7.81,0.14,11.77,19481.27,7.92,3.30,3.30,21.06,21.06,565,565,570,565,565,580,565,615,680,670,594.00,
1467076721,18337.95,9.38,0.13,10.39,18181.82,9.58,3.30,3.30,21.06,21.06,4995,4995,5000,5000,5000,5005,4995,5000,5000,4995,4998.50,3.20,
1467076740,18337.95,9.38,0.12,9.57,18181.82,9.58,3.30,3.30,21.06,21.06,4990,4995,5000,5000,5000,5000,5000,5000,5000,4995,4998.00,3.32,
1467077438,18898.31,8.65,0.13,10.35,18735.96,8.86,3.30,3.30,21.06,21.06,4995,4995,4995,4995,5000,5000,4995,4995,5000,5000,4997.00,2.45,
1467077446,18898.31,8.65,0.13,10.71,18735.96,8.86,3.30,3.30,21.06,21.06,4990,4995,5000,5000,4995,5000,5000,5000,5000,4995,4997.50,3.35,
1467077451,18816.90,8.75,0.14,11.57,18735.96,8.86,3.30,3.30,21.06,21.06,4990,4995,5000,5000,4995,5000,5000,5000,5000,5000,4998.00,3.32,
1467077477,18980.17,8.54,0.11,8.62,18898.31,8.65,2.64,2.18,1.65,-11.45,775,775,780,775,775,780,775,775,780,780,777.00,2.45,
1467077486,19062.50,8.44,0.13,9.99,18980.17,8.54,2.40,2.01,-5.19,-16.69,500,495,500,495,495,495,495,4995,4990,4995,1845.50,2060.74,
1467077491,19062.50,8.44,0.14,12.05,18980.17,8.54,2.25,2.05,-9.38,-15.44,495,495,500,495,495,495,500,4995,4990,4995,1845.50,2060.74,
1467077535,19566.47,7.81,0.11,8.15,19481.27,7.92,3.30,2.60,21.06,0.64,495,495,500,495,495,495,495,4995,4985,4995,1844.50,2060.31,
