Lib = 0.3.0 SN = FFFF-FFFF-FFFF-FFFF
Time [UTC], PresOB [mBar], RH_OB [%], TempOB [C], Temp RTC [C], Bat [V], Humidity [%], Temp Atmos [C],Distace [mm], 
2020/02/24 02:14:21,948.99,7.10,4.73,5.25,4.79,62.50,8.31,577,
2020/02/24 02:19:21,948.83,7.09,4.85,5.50,4.79,64.52,7.72,584,
2020/02/24 02:24:21,948.75,9.78,4.84,5.50,4.79,62.92,8.16,582,
2020/02/24 02:29:21,949.19,11.21,4.87,5.50,4.79,61.04,8.72,581,
2020/02/24 02:34:21,948.83,11.93,4.96,5.75,4.79,60.75,8.34,584,
2020/02/24 02:39:21,949.14,12.32,5.02,5.75,4.79,61.85,8.18,575,
2020/02/24 02:44:21,948.96,12.60,5.05,5.75,4.79,64.30,8.27,575,
2020/02/24 02:49:21,949.35,12.36,4.95,5.50,4.79,65.70,8.06,587,
2020/02/24 02:54:21,949.27,11.12,4.90,5.50,4.79,63.92,8.20,580,
2020/02/24 02:59:21,949.68,9.96,4.82,5.50,4.79,66.14,8.02,581,
2020/02/24 03:04:21,949.35,9.27,4.76,5.50,4.79,66.27,7.77,573,
2020/02/24 03:09:21,949.48,8.86,4.66,5.25,4.79,65.31,7.70,578,
2020/02/24 03:14:21,949.38,8.52,4.62,5.25,4.79,67.18,7.69,589,
2020/02/24 03:19:21,949.37,11.45,4.53,5.00,4.79,69.76,7.31,582,
2020/02/24 03:24:21,949.30,12.46,4.44,5.00,4.79,64.50,7.98,591,
2020/02/24 03:29:21,949.32,12.16,4.51,5.25,4.79,61.93,8.47,585,
2020/02/24 03:34:21,948.98,12.48,4.61,5.25,4.79,62.77,8.34,575,
2020/02/24 03:39:21,949.09,12.43,4.69,5.25,4.79,62.08,8.25,583,
2020/02/24 03:44:21,949.31,12.65,4.92,5.50,4.79,60.21,8.42,589,
2020/02/24 03:49:21,948.98,13.20,5.18,5.75,4.79,59.94,8.68,576,
2020/02/24 03:54:21,949.28,13.33,5.29,5.75,4.79,58.79,9.21,567,
2020/02/24 03:59:21,949.34,13.83,5.39,6.00,4.79,59.35,8.71,607,
2020/02/24 04:04:21,949.50,13.75,5.48,6.00,4.79,60.66,8.51,593,
2020/02/24 04:09:21,949.39,13.73,5.41,6.00,4.79,61.77,8.17,646,
2020/02/24 04:14:21,949.64,13.91,5.34,6.00,4.79,59.37,8.53,603,
2020/02/24 04:19:21,949.57,13.95,5.34,6.00,4.79,58.07,8.50,590,
2020/02/24 04:24:21,949.59,14.87,5.23,5.75,4.79,57.75,8.39,585,
2020/02/24 04:29:21,949.59,14.61,5.20,5.75,4.79,59.34,8.44,590,
2020/02/24 04:34:21,949.42,14.33,5.19,5.75,4.79,62.59,8.05,570,
2020/02/24 04:39:21,949.54,14.60,5.09,5.75,4.79,62.57,7.91,595,
2020/02/24 04:44:21,949.52,14.56,5.02,5.75,4.79,62.95,7.99,572,
2020/02/24 04:49:21,949.32,14.64,5.02,5.50,4.79,63.71,7.98,578,
