Lib = 0.3.0 SN = FFFF-FFFF-FFFF-FFFF
Time [UTC], PresOB [mBar], RH_OB [%], TempOB [C], Temp RTC [C], Bat [V], NumTicks [Cnt], 
2020/02/20 14:16:15,998.18,22.68,26.74,27.75,2.76,231,2.87,
2020/02/20 14:16:20,998.18,22.67,26.74,27.75,2.76,223,2.79,
2020/02/20 14:16:25,998.14,22.66,26.74,27.75,2.76,221,2.79,
2020/02/20 14:16:30,998.13,22.68,26.74,27.75,2.77,222,2.88,
2020/02/20 14:16:35,998.17,22.68,26.74,27.75,2.76,215,2.81,
2020/02/20 14:16:40,998.18,22.75,26.75,27.75,2.76,217,2.83,
2020/02/20 14:16:45,998.17,23.19,26.75,27.75,2.77,222,2.81,
2020/02/20 14:16:50,998.21,23.04,26.75,27.75,2.76,220,2.83,
2020/02/20 14:16:55,998.14,23.12,26.75,27.75,2.76,218,2.82,
2020/02/20 14:17:00,998.16,23.08,26.75,27.75,2.76,220,2.82,
2020/02/20 14:17:05,998.15,23.17,26.75,27.75,2.77,218,2.82,
2020/02/20 14:17:10,998.21,23.06,26.75,27.75,2.76,219,2.82,
2020/02/20 14:17:15,998.17,22.90,26.76,27.75,2.76,230,2.82,
2020/02/20 14:17:20,998.17,22.83,26.76,27.75,2.76,220,2.82,
2020/02/20 14:17:25,998.23,22.83,26.76,27.75,2.76,216,2.83,
2020/02/20 14:17:30,998.14,22.88,26.76,27.75,2.77,231,2.82,
2020/02/20 14:17:35,998.16,22.92,26.75,27.75,2.76,298,2.83,
2020/02/20 14:17:40,998.22,22.87,26.75,27.75,2.76,233,2.89,
2020/02/20 14:17:45,998.19,22.86,26.75,27.75,2.76,278,2.89,
2020/02/20 14:17:50,998.23,22.83,26.76,27.75,2.76,231,2.90,
2020/02/20 14:17:55,998.21,22.75,26.76,27.75,2.76,218,2.90,
2020/02/20 14:18:00,998.13,22.66,26.76,27.75,2.77,227,2.90,
2020/02/20 14:18:05,998.16,22.65,26.76,27.75,2.77,243,2.90,
2020/02/20 14:18:10,998.20,22.60,26.76,27.75,2.77,230,2.90,
2020/02/20 14:18:15,998.23,22.58,26.77,27.75,2.76,227,2.90,
2020/02/20 14:18:20,998.19,22.58,26.77,27.75,2.76,239,2.84,
2020/02/20 14:18:25,998.27,22.58,26.77,27.75,2.77,266,2.86,
2020/02/20 14:18:30,998.18,22.63,26.76,27.75,2.76,222,2.84,
2020/02/20 14:18:35,998.22,22.65,26.76,27.75,2.76,234,2.86,
2020/02/20 14:18:40,998.23,23.50,26.77,27.75,2.76,29,2.85,
2020/02/20 14:18:45,998.20,23.12,26.77,27.75,2.76,2,2.91,
2020/02/20 14:18:50,998.15,22.85,26.77,27.75,2.76,229,2.86,
2020/02/20 14:18:55,998.15,22.77,26.77,27.75,2.77,440,2.87,
2020/02/20 14:19:00,998.12,22.69,26.77,27.75,2.76,160,2.85,
2020/02/20 14:19:05,998.16,22.64,26.77,27.75,2.76,0,2.85,
2020/02/20 14:19:10,998.24,22.63,26.78,27.75,2.77,114,2.88,
2020/02/20 14:19:15,998.22,22.71,26.78,27.75,2.77,132,2.86,
2020/02/20 14:19:20,998.16,22.96,26.77,27.75,2.76,233,2.88,
2020/02/20 14:19:25,998.17,23.05,26.77,27.75,2.77,180,2.92,
2020/02/20 14:19:30,998.19,22.78,26.76,27.75,2.76,0,2.86,
2020/02/20 14:19:35,998.21,22.70,26.76,27.75,2.77,226,2.86,
2020/02/20 14:19:40,998.21,22.60,26.75,27.75,2.76,154,2.86,
2020/02/20 14:19:45,998.18,22.71,26.76,27.75,2.77,276,2.86,
2020/02/20 14:19:50,998.16,22.59,26.76,27.75,2.77,294,2.86,
2020/02/20 14:19:55,998.15,22.60,26.76,27.75,2.76,282,2.86,
2020/02/20 14:20:00,998.17,22.90,26.76,27.75,2.76,69,2.87,
2020/02/20 14:20:05,998.16,22.82,26.77,27.75,2.76,110,2.86,
2020/02/20 14:20:10,998.21,22.77,26.77,27.75,2.76,525,2.92,
2020/02/20 14:20:15,998.25,22.71,26.77,27.75,2.76,347,2.92,
2020/02/20 14:20:20,998.21,22.70,26.77,27.75,2.76,0,2.94,
2020/02/20 14:20:25,998.26,22.66,26.76,27.75,2.76,392,2.92,
2020/02/20 14:20:30,998.19,22.67,26.77,27.75,2.76,117,2.93,
2020/02/20 14:20:35,998.19,22.69,26.78,27.75,2.76,25,2.93,
2020/02/20 14:20:40,998.20,22.69,26.78,27.75,2.76,0,2.93,
2020/02/20 14:20:45,998.17,22.69,26.78,27.75,2.76,280,2.89,
2020/02/20 14:20:50,998.23,22.62,26.78,27.75,2.76,267,2.89,
2020/02/20 14:20:55,998.19,22.65,26.78,27.75,2.76,225,2.89,
2020/02/20 14:21:00,998.21,22.70,26.78,27.75,2.77,121,2.90,
2020/02/20 14:21:05,998.16,22.65,26.78,27.75,2.76,0,2.91,
2020/02/20 14:21:10,998.19,22.65,26.78,27.75,2.76,1,2.89,
