Lib = 0.3.0 SN = FFFF-FFFF-FFFF-FFFF
Time [UTC], PresOB [mBar], RH_OB [%], TempOB [C], Temp RTC [C], Bat [V], Anemometer revolutions [number],
2020/02/20 13:02:23,998.20,22.73,25.81,26.75,2.76,0,
2020/02/20 13:02:28,998.24,22.46,25.88,26.75,2.76,0,
2020/02/20 13:02:33,998.19,22.43,25.76,26.75,2.77,0,
2020/02/20 13:02:38,998.22,22.45,25.76,26.75,2.76,0,
2020/02/20 13:02:43,998.24,22.56,25.76,26.75,2.76,0,
2020/02/20 13:02:48,998.25,22.52,25.74,26.75,2.77,0,
2020/02/20 13:02:53,998.23,22.38,25.73,26.75,2.77,0,
2020/02/20 13:02:58,998.23,22.36,25.72,26.75,2.76,0,
2020/02/20 13:03:03,998.19,22.39,25.72,26.75,2.76,0,
2020/02/20 13:03:08,998.20,22.53,25.71,26.75,2.76,0,
2020/02/20 13:03:13,998.20,22.50,25.71,26.75,2.76,0,
2020/02/20 13:03:18,998.19,22.49,25.71,26.75,2.76,0,
2020/02/20 13:03:23,998.21,22.49,25.70,26.75,2.76,0,
2020/02/20 13:03:28,998.19,22.55,25.70,26.75,2.76,0,
2020/02/20 13:03:33,998.18,22.58,25.69,26.75,2.76,4,
2020/02/20 13:03:38,998.19,22.49,25.69,26.75,2.76,0,
2020/02/20 13:03:43,998.19,22.54,25.69,26.75,2.76,0,
2020/02/20 13:03:48,998.19,22.68,25.69,26.75,2.76,0,
2020/02/20 13:03:53,998.15,23.15,25.68,26.75,2.76,40,
2020/02/20 13:03:58,998.24,22.96,25.68,26.75,2.76,29,
2020/02/20 13:04:03,998.25,22.74,25.68,26.75,2.76,0,
2020/02/20 13:04:08,998.17,22.82,25.68,26.75,2.77,0,
2020/02/20 13:04:13,998.14,22.74,25.68,26.75,2.76,1,
2020/02/20 13:04:18,998.16,22.61,25.67,26.75,2.76,0,
2020/02/20 13:04:23,998.19,22.68,25.67,26.75,2.77,0,
