Lib = 0.3.0 SN = FFFF-FFFF-FFFF-FFFF
Time [UTC], PresOB [mBar], RH_OB [%], TempOB [C], Temp RTC [C], Bat [V], Anemometer revolutions [number],
2020/02/20 12:11:40,998.08,22.25,25.62,26.50,2.77,0,
2020/02/20 12:11:45,998.12,22.24,25.68,26.50,2.76,0,
2020/02/20 12:11:50,998.10,22.53,25.56,26.50,2.76,0,
2020/02/20 12:11:55,998.00,22.56,25.53,26.50,2.76,151,
2020/02/20 12:12:00,998.01,22.59,25.54,26.50,2.76,217,
2020/02/20 12:12:05,998.05,22.55,25.52,26.50,2.76,227,
2020/02/20 12:12:10,998.04,22.49,25.52,26.50,2.77,227,
2020/02/20 12:12:15,998.07,22.55,25.51,26.50,2.76,250,
2020/02/20 12:12:20,998.02,22.54,25.50,26.50,2.76,250,
2020/02/20 12:12:25,998.07,22.46,25.49,26.50,2.76,250,
2020/02/20 12:12:30,998.02,22.55,25.48,26.50,2.76,250,
2020/02/20 12:12:35,998.10,22.79,25.48,26.50,2.76,242,
2020/02/20 12:12:40,998.04,22.36,25.48,26.50,2.77,240,
2020/02/20 12:12:45,998.03,22.25,25.48,26.50,2.76,250,
2020/02/20 12:12:50,998.03,22.17,25.47,26.50,2.76,229,
2020/02/20 12:12:55,998.09,22.11,25.47,26.50,2.76,180,
2020/02/20 12:13:00,998.04,22.05,25.47,26.50,2.76,219,
2020/02/20 12:13:05,998.02,22.04,25.48,26.50,2.76,498,
2020/02/20 12:13:10,998.02,22.08,25.47,26.50,2.76,397,
2020/02/20 12:13:15,998.03,22.07,25.47,26.50,2.77,18,
2020/02/20 12:13:20,998.07,22.13,25.47,26.50,2.76,142,
2020/02/20 12:13:25,998.09,22.14,25.47,26.50,2.76,250,
2020/02/20 12:13:30,998.04,22.13,25.48,26.50,2.77,227,
2020/02/20 12:13:35,998.05,22.15,25.48,26.50,2.76,227,
2020/02/20 12:13:40,998.03,22.33,25.47,26.50,2.76,250,
2020/02/20 12:13:45,998.05,22.32,25.47,26.50,2.76,250,
