Lib = 0.3.0 SN = FFFF-FFFF-FFFF-FFFF,,,,,,,,,,
Time [UTC], PresOB [mBar], RH_OB [%], TempOB [C], Temp RTC [C], Bat [V], Humidity [%],Temp,Distance [mm],Dist_cor,
23/12/2020 21:20,968.11,73.56,2.45,2.75,4.78,89.23,2.27,736,736,
23/12/2020 21:25,967.97,82.36,2.3,3,4.8,85.31,3.09,737,737,
23/12/2020 21:30,967.31,81.08,2.58,3.25,4.8,88.6,2.24,733,733,
23/12/2020 21:35,967.27,77.74,2.46,3,4.8,89.52,2.17,731,731,
23/12/2020 21:40,966.94,74.28,2.29,2.75,4.8,90.3,2.01,732,732,
23/12/2020 21:45,966.93,71.12,2.06,2.75,4.8,91.44,1.85,730,730,
23/12/2020 21:50,966.89,67.65,1.84,2.5,4.8,92.13,1.8,733,733,
23/12/2020 21:55,966.83,64.56,1.7,2.25,4.8,91.89,2,734,734,
23/12/2020 22:00,966.73,61.97,1.65,2.25,4.8,92.14,1.86,734,734,
23/12/2020 22:05,966.86,59.83,1.57,2.25,4.8,92.57,1.86,731,731,
23/12/2020 22:10,966.84,58.13,1.55,2.25,4.8,93.1,1.94,735,735,
23/12/2020 22:15,966.78,56.9,1.55,2,4.79,93.81,1.93,737,737,
23/12/2020 22:20,966.55,55.96,1.52,2,4.76,93.08,1.77,733,733,
23/12/2020 22:25,966.46,55.38,1.49,2,4.78,93.26,1.84,738,738,
23/12/2020 22:30,966.33,54.8,1.46,2,4.79,92.4,1.78,740,740,
23/12/2020 22:35,966.16,54.36,1.43,2,4.79,91.39,1.9,735,735,
23/12/2020 22:40,966.12,54.43,1.45,2,4.8,90.41,2.05,738,738,
23/12/2020 22:45,965.96,54.54,1.45,2,4.79,90.5,1.94,738,738,
23/12/2020 22:50,966.12,54.58,1.41,2,4.8,90.53,1.81,737,737,
23/12/2020 22:55,965.9,54.69,1.37,2,4.8,89.63,2,737,737,
23/12/2020 23:00,965.69,54.78,1.33,2,4.8,90.28,1.77,736,736,
23/12/2020 23:05,965.75,54.88,1.3,1.75,4.8,89.28,2.1,737,737,
23/12/2020 23:10,965.63,54.99,1.32,2,4.8,89.47,1.92,735,735,
23/12/2020 23:15,965.46,54.88,1.31,2,4.8,90.44,1.69,737,737,
23/12/2020 23:20,965.43,55.04,1.26,1.75,4.8,89.73,1.82,737,737,
23/12/2020 23:25,965.39,55.31,1.23,1.75,4.8,89.79,1.74,733,733,
23/12/2020 23:30,965.23,55.44,1.2,1.75,4.8,90.3,1.78,731,731,
23/12/2020 23:35,964.94,55.59,1.19,1.75,4.8,90.59,1.76,734,734,
23/12/2020 23:40,964.94,55.48,1.16,1.75,4.8,90.86,1.8,735,735,
23/12/2020 23:45,964.78,55.57,1.13,1.75,4.8,90.44,1.77,733,733,
23/12/2020 23:50,964.67,55.68,1.11,1.75,4.8,90.31,1.84,736,736,
23/12/2020 23:55,964.61,55.71,1.07,1.75,4.8,91.91,1.53,737,737,
24/12/2020 00:00,964.45,55.88,1,1.5,4.8,91.55,1.66,722,722,
24/12/2020 00:05,964.52,56.14,0.97,1.5,4.8,91.61,1.58,723,723,
24/12/2020 00:10,964.34,56.31,0.93,1.5,4.8,91.74,1.57,729,729,
24/12/2020 00:15,964.29,56.58,0.91,1.5,4.8,90.88,1.84,741,741,
24/12/2020 00:20,964.1,56.67,0.92,1.5,4.8,91.41,1.66,734,734,
24/12/2020 00:25,964.01,56.85,0.91,1.5,4.8,91.12,1.82,741,741,
24/12/2020 00:30,963.88,56.96,0.91,1.5,4.8,90.89,1.8,743,743,
24/12/2020 00:35,963.84,56.97,0.9,1.5,4.8,91.69,1.65,750,750,
24/12/2020 00:40,963.63,57.38,0.88,1.5,4.8,91.19,1.86,749,749,
24/12/2020 00:45,963.53,57.79,0.96,1.5,4.8,90.16,2.13,753,753,
24/12/2020 00:50,963.21,57.8,1.04,1.75,4.8,90.41,1.98,756,756,
24/12/2020 00:55,963.05,57.67,1.07,1.75,4.8,90.08,1.97,758,758,
24/12/2020 01:00,963.06,57.59,1.05,1.75,4.8,90.86,1.69,756,756,
24/12/2020 01:05,962.78,57.68,1.01,1.75,4.8,90.67,1.76,756,756,
24/12/2020 01:10,962.54,57.76,0.98,1.5,4.8,91.08,1.62,754,754,
24/12/2020 01:15,962.34,57.71,0.92,1.5,4.8,91.67,1.54,752,752,
24/12/2020 01:20,962.2,57.83,0.87,1.5,4.8,91.35,1.62,755,755,
24/12/2020 01:25,962.04,57.86,0.83,1.5,4.8,91.57,1.5,755,755,
24/12/2020 01:30,961.98,57.84,0.77,1.25,4.8,91,1.59,760,760,
24/12/2020 01:35,961.88,57.92,0.73,1.25,4.8,92.09,1.42,756,756,
24/12/2020 01:40,961.57,57.92,0.67,1.25,4.8,91.91,1.35,757,757,
24/12/2020 01:45,961.54,58.05,0.61,1.25,4.8,92.41,1.19,759,759,
24/12/2020 01:50,961.4,58.1,0.56,1.25,4.8,91.86,1.34,758,758,
24/12/2020 01:55,961.31,58.26,0.56,1.25,4.8,92.26,1.4,756,756,
24/12/2020 02:00,961.29,58.41,0.57,1.25,4.8,91.86,1.5,755,755,
24/12/2020 02:05,961.11,58.55,0.62,1.25,4.8,91.64,1.61,755,755,
24/12/2020 02:10,960.97,58.5,0.66,1.25,4.8,92.5,1.49,749,749,
24/12/2020 02:15,960.69,58.6,0.68,1.25,4.79,91.69,1.58,753,753,
24/12/2020 02:20,960.58,58.74,0.72,1.25,4.79,91.67,1.59,747,747,
24/12/2020 02:25,960.37,58.79,0.74,1.25,4.79,90.86,1.74,749,749,
24/12/2020 02:30,960,59,0.79,1.25,4.78,90.74,1.74,751,751,
24/12/2020 02:35,959.7,58.92,0.84,1.25,4.78,91.55,1.77,755,755,
24/12/2020 02:40,959.56,58.95,0.85,1.5,4.78,91.89,1.58,-5000,-5000,
24/12/2020 02:45,959.42,58.98,0.84,1.5,4.78,91.17,1.84,9999,9999,
24/12/2020 02:50,958.93,59.21,0.85,1.5,4.8,91.41,1.74,754,754,
24/12/2020 02:55,958.66,59.16,0.84,1.5,4.8,91.48,1.7,752,752,
24/12/2020 03:00,958.49,59.17,0.82,1.25,4.8,92.03,1.59,760,760,
24/12/2020 03:05,958.19,59.34,0.79,1.5,4.8,90.79,1.78,761,761,
24/12/2020 03:10,957.91,59.28,0.79,1.25,4.8,91.69,1.63,9999,9999,
24/12/2020 03:15,957.35,59.56,0.79,1.25,4.8,91.28,1.9,9999,9999,
24/12/2020 03:20,957.23,59.52,0.81,1.25,4.8,91.35,1.84,-5000,-5000,
24/12/2020 03:25,956.64,59.46,0.8,1.25,4.8,91.41,1.72,771,771,
24/12/2020 03:30,956.01,59.07,0.73,1.25,4.8,94.02,1.19,-5000,-5000,
24/12/2020 03:35,955.52,58.87,0.48,1,4.79,95.83,1.04,-5000,-5000,
24/12/2020 03:40,955.54,59.07,0.24,0.75,4.78,96.81,0.96,-5000,-5000,
24/12/2020 03:45,955.9,59.24,0.05,0.5,4.8,96.72,0.88,-5000,-5000,
24/12/2020 03:50,955.64,59.46,-0.07,0.5,4.8,96.72,1.04,-5000,-5000,
24/12/2020 03:55,955.62,59.51,-0.12,0.5,4.8,97.05,0.99,-5000,-5000,
24/12/2020 04:00,955.44,59.57,-0.13,0.5,4.8,97.12,1.04,-5000,-5000,
24/12/2020 04:05,955.73,59.6,-0.14,0.5,4.8,96.89,1.12,-5000,-5000,
24/12/2020 04:10,955.69,59.84,-0.1,0.5,4.8,94.91,1.46,-5000,-5000,
24/12/2020 04:15,955.76,59.98,-0.01,0.5,4.8,95.72,1.7,-5000,-5000,
24/12/2020 04:20,955.76,60.31,0.15,0.75,4.81,94.58,1.82,731,731,
24/12/2020 04:25,955.34,59.99,0.29,0.75,4.8,95.7,1.49,-5000,-5000,
24/12/2020 04:30,955.14,59.58,0.32,0.75,4.8,97.05,1.35,7497,7497,
24/12/2020 04:35,955.51,59.75,0.29,0.75,4.8,97.3,1.36,-5000,-5000,
24/12/2020 04:40,955.56,59.82,0.3,0.75,4.81,97.87,1.42,9999,9999,
24/12/2020 04:45,955.44,59.72,0.34,0.75,4.8,98.05,1.31,725,725,
24/12/2020 04:50,955.49,59.72,0.37,1,4.8,97.88,1.3,722,722,
24/12/2020 04:55,955.61,59.73,0.38,0.75,4.8,97.28,1.4,743,743,
24/12/2020 05:00,955.56,59.73,0.41,1,4.8,97.36,1.22,752,752,
24/12/2020 05:05,955.33,59.81,0.43,1,4.8,95.98,1.51,741,741,
24/12/2020 05:10,954.83,59.89,0.45,1,4.8,96.01,1.35,-5000,-5000,
24/12/2020 05:15,954.38,59.81,0.42,1,4.8,95.41,1.36,-5000,-5000,
24/12/2020 05:20,954.55,59.88,0.35,0.75,4.8,93.59,1.49,-5000,-5000,
24/12/2020 05:25,954.85,59.9,0.3,0.75,4.8,93.8,1.36,724,724,
24/12/2020 05:30,955.02,59.93,0.27,0.75,4.8,94.77,1.27,-5000,-5000,
24/12/2020 05:35,955,59.9,0.26,0.75,4.8,95.54,1.09,725,725,
24/12/2020 05:40,955.17,59.87,0.24,0.75,4.8,94.92,1.26,725,725,
24/12/2020 05:45,955.47,59.88,0.21,0.75,4.8,95.84,0.99,9999,9999,
24/12/2020 05:50,955.73,59.78,0.17,0.75,4.8,96.67,0.82,754,754,
24/12/2020 05:55,955.97,59.99,0.13,0.5,4.8,96.17,1.13,9999,9999,
24/12/2020 06:00,955.88,60.04,0.16,0.75,4.8,97.25,0.93,9999,9999,
24/12/2020 06:05,955.93,60.22,0.18,0.75,4.8,95.99,1.12,9999,9999,
24/12/2020 06:10,955.89,60.22,0.22,0.75,4.8,95.72,1.19,9999,9999,
24/12/2020 06:15,955.5,60.3,0.24,0.75,4.81,95.16,1.12,731,731,
24/12/2020 06:20,955.29,60.25,0.24,0.75,4.8,95.32,1.05,8356,8356,
24/12/2020 06:25,955.17,60.29,0.22,0.75,4.8,94.9,1.01,9999,9999,
24/12/2020 06:30,955.08,60.32,0.2,0.75,4.81,94.69,0.89,735,735,
24/12/2020 06:35,954.97,60.22,0.16,0.75,4.8,94.78,0.8,731,731,
24/12/2020 06:40,954.97,60.22,0.1,0.75,4.8,95.56,0.7,730,730,
24/12/2020 06:45,955.08,60.23,0.05,0.5,4.8,96.48,0.61,731,731,
24/12/2020 06:50,955.14,60.43,0.01,0.5,4.8,96.73,0.72,728,728,
24/12/2020 06:55,955.12,60.63,0.02,0.5,4.81,96.17,0.74,731,731,
24/12/2020 07:00,955.16,60.73,0.04,0.75,4.81,95.25,0.97,728,728,
24/12/2020 07:05,955.22,61.08,0.11,0.75,4.81,95.78,1.05,725,725,
24/12/2020 07:10,955.19,61.1,0.17,0.75,4.81,95.41,1.03,730,730,
24/12/2020 07:15,955.26,60.94,0.21,0.75,4.81,95.45,1.11,9999,9999,
24/12/2020 07:20,955.19,61.26,0.27,1,4.81,95.45,1.39,902,902,
24/12/2020 07:25,955.12,61.29,0.38,1,4.81,95.84,1.42,732,732,
24/12/2020 07:30,955.02,61.37,0.5,1,4.81,95.31,1.58,731,731,
24/12/2020 07:35,954.75,61.27,0.63,1.25,4.81,95.3,1.57,734,734,
24/12/2020 07:40,954.66,61.17,0.72,1.25,4.81,94.74,1.62,729,729,
24/12/2020 07:45,954.67,61.1,0.78,1.5,4.81,94.03,1.63,730,730,
24/12/2020 07:50,954.64,60.99,0.83,1.5,4.81,94.05,1.57,9999,9999,
24/12/2020 07:55,954.71,60.86,0.85,1.5,4.81,93.87,1.5,727,727,
24/12/2020 08:00,954.75,60.8,0.86,1.25,4.82,94.43,1.46,728,728,
24/12/2020 08:05,954.74,60.89,0.88,1.5,4.81,94.03,1.46,728,728,
24/12/2020 08:10,954.95,61.12,0.96,1.5,4.81,93.47,1.61,726,726,
24/12/2020 08:15,954.68,61.13,1.09,1.75,4.81,93.49,1.58,728,728,
24/12/2020 08:20,954.64,60.71,1.14,1.75,4.81,93.87,1.47,726,726,
24/12/2020 08:25,954.59,60.53,1.08,1.75,4.81,94.04,1.42,728,728,
24/12/2020 08:30,954.71,60.51,1.01,1.5,4.81,93.98,1.35,724,724,
24/12/2020 08:35,954.7,60.67,0.96,1.5,4.81,93.47,1.42,725,725,
24/12/2020 08:40,954.7,60.86,0.95,1.5,4.81,93.57,1.39,723,723,
24/12/2020 08:45,954.8,60.79,0.92,1.5,4.81,93.35,1.4,723,723,
24/12/2020 08:50,954.61,60.87,0.92,1.5,4.81,93.37,1.42,728,728,
24/12/2020 08:55,954.71,61.11,0.95,1.5,4.81,92.62,1.5,724,724,
24/12/2020 09:00,954.84,61.32,1,1.5,4.81,92.48,1.54,725,725,
24/12/2020 09:05,954.65,61.39,1.08,1.5,4.81,92.38,1.58,723,723,
24/12/2020 09:10,954.83,61.73,1.2,1.75,4.81,91.94,1.72,724,724,
24/12/2020 09:15,954.42,61.31,1.47,2,4.81,92.28,1.58,725,725,
24/12/2020 09:20,954.41,60.94,1.7,2.25,4.81,92.66,1.53,724,724,
24/12/2020 09:25,954.28,60.34,1.73,2.5,4.81,92.58,1.57,724,724,
24/12/2020 09:30,954.21,60.54,1.67,2.25,4.81,92.24,1.66,726,726,
24/12/2020 09:35,954.16,60.84,1.66,2.25,4.81,92.33,1.69,730,730,
24/12/2020 09:40,954.06,61,1.74,2.25,4.81,92.56,1.62,727,727,
24/12/2020 09:45,954.14,60.25,1.7,2.25,4.81,93.45,1.5,729,729,
24/12/2020 09:50,954.16,60.15,1.52,2,4.8,93.87,1.42,725,725,
24/12/2020 09:55,954.28,60.27,1.33,1.75,4.81,94.56,1.3,724,724,
24/12/2020 10:00,954.35,60.45,1.19,1.75,4.81,95.01,1.27,724,724,
24/12/2020 10:05,954.26,60.62,1.05,1.75,4.81,95.41,1.23,724,724,
24/12/2020 10:10,954.35,60.79,0.96,1.5,4.81,95.25,1.27,723,723,
24/12/2020 10:15,954.31,60.88,0.88,1.25,4.81,96.11,1.24,724,724,
24/12/2020 10:20,954.29,60.96,0.83,1.25,4.81,96.56,1.11,723,723,
24/12/2020 10:25,954.27,61.14,0.8,1.5,4.81,96.73,1.13,723,723,
24/12/2020 10:30,954.05,61.42,0.84,1.5,4.81,96.78,1.19,725,725,
24/12/2020 10:35,954.07,61.26,0.86,1.5,4.81,97.49,1.08,724,724,
24/12/2020 10:40,953.99,61.21,0.82,1.25,4.81,97.9,1.03,726,726,
24/12/2020 10:45,954.02,61.38,0.81,1.5,4.81,96.81,1.13,723,723,
24/12/2020 10:50,954.01,61.36,0.79,1.25,4.81,96.75,1.12,724,724,
24/12/2020 10:55,954.02,61.42,0.76,1.25,4.81,96.76,1.08,723,723,
24/12/2020 11:00,953.85,61.53,0.74,1.25,4.81,96.75,1.04,724,724,
24/12/2020 11:05,953.86,61.58,0.73,1.25,4.81,96.79,1.11,723,723,
24/12/2020 11:10,953.65,61.68,0.72,1.25,4.81,96.32,1.09,724,724,
24/12/2020 11:15,953.52,61.75,0.74,1.25,4.81,96.34,1.09,727,727,
24/12/2020 11:20,953.45,61.76,0.76,1.25,4.81,96.05,1.07,725,725,
24/12/2020 11:25,953.43,61.98,0.82,1.5,4.81,94.67,1.13,726,726,
24/12/2020 11:30,953.26,62.05,0.9,1.5,4.81,95.03,1.11,728,728,
24/12/2020 11:35,953.13,61.99,1,1.5,4.81,96.03,0.97,731,731,
24/12/2020 11:40,953.08,61.71,1.02,1.5,4.81,96.32,1,733,733,
24/12/2020 11:45,953.07,61.56,0.96,1.5,4.81,96.52,0.97,733,733,
24/12/2020 11:50,953,61.64,0.89,1.5,4.81,96.43,0.96,733,733,
24/12/2020 11:55,952.94,61.8,0.87,1.5,4.81,96.61,0.92,735,735,
24/12/2020 12:00,952.72,62.11,0.89,1.5,4.81,96.59,0.94,736,736,
24/12/2020 12:05,952.58,62.09,0.95,1.5,4.81,96.94,0.89,735,735,
24/12/2020 12:10,952.42,62.12,1,1.5,4.81,96.34,0.92,735,735,
24/12/2020 12:15,952.19,61.86,1.03,1.5,4.81,97.3,0.84,750,750,
24/12/2020 12:20,952.19,62.09,1.01,1.5,4.81,97.08,0.85,731,731,
24/12/2020 12:25,952.18,62.15,1.04,1.75,4.81,96.41,0.86,750,750,
24/12/2020 12:30,952.24,62.25,1.08,1.5,4.81,95.54,1.01,723,723,
24/12/2020 12:35,952.51,62.97,1.29,2,4.81,95.5,1.26,724,724,
24/12/2020 12:40,952.28,63.11,1.75,2.25,4.81,94.38,1.3,729,729,
24/12/2020 12:45,952.12,61.97,2.04,2.75,4.81,95.01,1.28,740,740,
24/12/2020 12:50,951.9,61.58,2.28,2.75,4.81,95.53,1.22,749,749,
24/12/2020 12:55,951.91,61.44,2.45,3,4.81,95.67,1.27,749,749,
24/12/2020 13:00,951.64,61.26,2.67,3.25,4.81,94.6,1.4,737,737,
24/12/2020 13:05,951.38,60.15,2.8,3.25,4.81,95.32,1.23,766,766,
24/12/2020 13:10,951.65,60.64,2.77,3.25,4.8,95.88,1.35,799,799,
24/12/2020 13:15,951.34,60.44,2.79,3.5,4.8,96.19,1.27,711,711,
24/12/2020 13:20,951.37,60.52,2.69,3.25,4.8,97.25,1.13,731,731,
24/12/2020 13:25,951.32,60.33,2.45,3,4.8,97.41,1.01,738,738,
24/12/2020 13:30,951.48,60.59,2.16,2.75,4.8,97.79,0.94,737,737,
24/12/2020 13:35,951.69,61.31,2.01,2.75,4.81,97.83,1.07,742,742,
24/12/2020 13:40,951.87,61.51,1.94,2.5,4.81,97.36,1.08,734,734,
24/12/2020 13:45,952.04,61.65,1.9,2.5,4.81,97.65,1.04,733,733,
24/12/2020 13:50,952.05,61.96,1.91,2.5,4.81,97.74,1.08,740,740,
24/12/2020 13:55,952.11,62.08,2.02,2.5,4.81,97.74,1,734,734,
24/12/2020 14:00,952.25,61.8,2.01,2.5,4.81,97.97,1,732,732,
24/12/2020 14:05,952.35,62.07,1.98,2.5,4.81,97.54,1.04,715,715,
24/12/2020 14:10,952.32,62.22,2.02,2.5,4.81,97.47,1.07,749,749,
24/12/2020 14:15,952.55,62.52,2.1,2.75,4.81,97.11,1.24,6286,6286,
24/12/2020 14:20,952.68,62.37,2.18,2.75,4.81,97.39,1.28,731,731,
24/12/2020 14:25,952.46,62.36,2.28,2.75,4.81,97.26,1.16,-5000,-5000,
24/12/2020 14:30,952.72,62.44,2.36,3,4.81,96.73,1.28,-5000,-5000,
24/12/2020 14:35,952.59,61.93,2.39,3,4.81,96.92,1.01,733,733,
24/12/2020 14:40,952.82,61.8,2.28,2.75,4.81,97.23,0.96,-5000,-5000,
24/12/2020 14:45,952.95,61.59,2.13,2.75,4.81,97.58,0.93,-5000,-5000,
24/12/2020 14:50,953.16,61.74,1.96,2.5,4.81,97.88,0.86,6937,6937,
24/12/2020 14:55,953.37,61.75,1.79,2.25,4.81,98.48,0.8,9999,9999,
24/12/2020 15:00,953.54,61.83,1.56,2,4.81,98.63,0.72,9999,9999,
24/12/2020 15:05,953.68,61.95,1.36,2,4.81,98.93,0.73,9999,9999,
24/12/2020 15:10,953.82,62.34,1.21,1.75,4.81,98.63,0.7,9999,9999,
24/12/2020 15:15,953.99,62.5,1.12,1.75,4.81,98.54,0.69,9999,9999,
24/12/2020 15:20,954.2,62.99,1.08,1.75,4.81,98.44,0.77,9999,9999,
24/12/2020 15:25,954.11,63.13,1.07,1.5,4.81,98.57,0.72,9999,9999,
24/12/2020 15:30,954.07,63.23,1.06,1.5,4.81,98.24,0.73,9999,9999,
24/12/2020 15:35,954.2,63.3,1.07,1.75,4.81,98.03,0.77,9999,9999,
24/12/2020 15:40,954.41,63.44,1.09,1.75,4.81,98.03,0.85,9999,9999,
24/12/2020 15:45,954.54,63.71,1.15,1.75,4.82,97.98,0.97,2177,2177,
24/12/2020 15:50,954.46,63.68,1.25,1.75,4.81,97.69,0.93,9999,9999,
24/12/2020 15:55,954.44,63.48,1.3,2,4.81,97.66,0.89,-5000,-5000,
24/12/2020 16:00,954.6,63.34,1.31,2,4.82,97.22,0.92,9999,9999,
24/12/2020 16:05,954.83,63.28,1.33,1.75,4.81,96.48,0.96,9999,9999,
24/12/2020 16:10,954.86,63.25,1.35,2,4.82,95.7,1.04,9999,9999,
24/12/2020 16:15,954.83,63.19,1.38,2,4.81,96.01,1.03,9999,9999,
24/12/2020 16:20,955.11,63.23,1.41,2,4.81,96.47,1.04,738,738,
24/12/2020 16:25,955.29,63.32,1.45,2,4.81,97.03,1.08,9999,9999,
24/12/2020 16:30,955.23,63.47,1.56,2,4.82,95.98,1.09,9999,9999,
24/12/2020 16:35,954.96,63.15,1.71,2.25,4.81,96.47,0.99,9999,9999,
24/12/2020 16:40,955.21,62.85,1.72,2.25,4.81,95.92,1.07,742,742,
24/12/2020 16:45,955.24,63.04,1.72,2.25,4.81,96.23,1.05,744,744,
24/12/2020 16:50,955.23,62.91,1.73,2.25,4.81,95.52,1.08,-5000,-5000,
24/12/2020 16:55,955.47,62.88,1.68,2.25,4.81,95.58,1.11,746,746,
24/12/2020 17:00,955.68,63.24,1.68,2.25,4.81,95.14,1.26,-5000,-5000,
24/12/2020 17:05,955.52,63.38,1.81,2.5,4.81,94.65,1.22,9999,9999,
24/12/2020 17:10,955.58,63.25,1.9,2.5,4.82,94.42,1.23,757,757,
24/12/2020 17:15,955.93,63.63,2.04,2.75,4.81,93.44,1.49,735,735,
24/12/2020 17:20,955.85,63.39,2.19,2.75,4.82,92.66,1.5,-5000,-5000,
24/12/2020 17:25,956.1,63.37,2.25,2.75,4.81,91.69,1.72,-5000,-5000,
24/12/2020 17:30,956.02,63.19,2.39,3,4.81,91.15,1.7,737,737,
24/12/2020 17:35,956.19,62.89,2.37,3,4.81,90.37,1.63,735,735,
24/12/2020 17:40,956.24,63.26,2.36,3,4.81,89.5,1.9,742,742,
24/12/2020 17:45,956.17,63.76,2.53,3.25,4.82,87.8,2.09,-5000,-5000,
24/12/2020 17:50,956.06,63.94,2.81,3.25,4.82,86.29,2.31,771,771,
24/12/2020 17:55,956.11,63.2,2.94,3.5,4.81,86.88,2.08,744,744,
24/12/2020 18:00,956.11,62.95,2.88,3.5,4.81,87.48,2.01,748,748,
24/12/2020 18:05,956.37,63.15,2.79,3.5,4.81,87.3,2.1,-5000,-5000,
24/12/2020 18:10,956.3,63.05,2.74,3.5,4.82,87.42,1.92,-5000,-5000,
24/12/2020 18:15,956.29,63.36,2.68,3.25,4.81,86.49,2.06,735,735,
24/12/2020 18:20,956.74,63.72,2.71,3.25,4.81,86.11,2.2,734,734,
24/12/2020 18:25,956.68,63.78,2.8,3.25,4.82,85.99,2.18,734,734,
24/12/2020 18:30,956.97,63.64,2.83,3.25,4.82,86.79,2.06,734,734,
24/12/2020 18:35,956.87,63.68,2.82,3.5,4.82,85.93,2.06,731,731,
24/12/2020 18:40,957.09,63.69,2.83,3.5,4.81,86.19,2.02,732,732,
24/12/2020 18:45,957.4,63.6,2.76,3.5,4.81,86.44,2.12,732,732,
24/12/2020 18:50,957.41,63.46,2.74,3.25,4.82,87.46,1.84,730,730,
24/12/2020 18:55,958.03,63.11,2.56,3.25,4.81,88.6,1.74,730,730,
24/12/2020 19:00,958.05,63.2,2.34,2.75,4.81,88.43,1.65,743,743,
24/12/2020 19:05,958.22,63.4,2.16,2.75,4.82,88.64,1.63,734,734,
24/12/2020 19:10,958.4,63.7,2.06,2.75,4.82,88.49,1.65,751,751,
24/12/2020 19:15,958.54,63.86,2.04,2.5,4.81,89.2,1.65,737,737,
24/12/2020 19:20,958.8,63.83,1.99,2.5,4.81,89.34,1.63,742,742,
24/12/2020 19:25,958.83,63.89,1.97,2.5,4.81,89.08,1.63,744,744,
24/12/2020 19:30,959.08,63.97,2,2.5,4.81,89.27,1.74,745,745,
24/12/2020 19:35,959.11,63.57,2.02,2.5,4.81,89.56,1.61,743,743,
24/12/2020 19:40,959.3,63.37,1.95,2.5,4.81,89.26,1.67,742,742,
24/12/2020 19:45,959.36,63.39,1.93,2.5,4.81,89.09,1.58,744,744,
24/12/2020 19:50,959.54,63.2,1.9,2.5,4.82,89.47,1.61,740,740,
24/12/2020 19:55,959.64,63.18,1.85,2.5,4.81,89.01,1.61,743,743,
24/12/2020 20:00,959.69,63,1.79,2.25,4.81,89.83,1.49,747,747,
24/12/2020 20:05,959.92,63.13,1.74,2.25,4.81,89.92,1.55,744,744,
24/12/2020 20:10,959.75,63.07,1.72,2.25,4.81,89.26,1.61,751,751,
24/12/2020 20:15,959.84,63.18,1.73,2.25,4.81,88.98,1.67,746,746,
24/12/2020 20:20,960,63.06,1.77,2.25,4.81,89.85,1.58,753,753,
24/12/2020 20:25,960.33,63.29,1.8,2.5,4.81,88.54,1.92,743,743,
24/12/2020 20:30,960.16,63.81,2.04,2.5,4.81,87.78,2,745,745,
24/12/2020 20:35,959.9,63.1,2.18,2.75,4.81,88.15,1.77,744,744,
24/12/2020 20:40,960.05,62.61,2.12,2.75,4.81,88.78,1.66,741,741,
24/12/2020 20:45,960.13,62.6,2,2.5,4.81,88.67,1.7,737,737,
24/12/2020 20:50,960.33,62.74,1.95,2.5,4.81,88.83,1.62,752,752,
24/12/2020 20:55,960.4,62.68,1.91,2.5,4.81,88.47,1.63,745,745,
24/12/2020 21:00,960.69,62.58,1.85,2.5,4.81,89.74,1.58,9999,9999,
24/12/2020 21:05,960.69,62.6,1.81,2.25,4.81,89.59,1.54,785,785,
24/12/2020 21:10,960.82,62.37,1.74,2.25,4.81,90.28,1.39,715,715,
24/12/2020 21:15,961.31,62.24,1.58,2.25,4.81,91.27,1.27,806,806,
24/12/2020 21:20,961.44,62.37,1.42,2,4.81,91.05,1.28,741,741,
24/12/2020 21:25,961.59,62.56,1.35,2,4.81,90.92,1.35,735,735,
24/12/2020 21:30,961.74,62.6,1.33,1.75,4.81,91.06,1.3,736,736,
24/12/2020 21:35,961.81,62.87,1.35,2,4.81,90.64,1.49,737,737,
24/12/2020 21:40,961.72,63.33,1.52,2,4.81,90.14,1.58,734,734,
24/12/2020 21:45,961.74,62.98,1.66,2.25,4.81,90.5,1.5,741,741,
24/12/2020 21:50,961.83,62.49,1.64,2.25,4.81,90.99,1.4,734,734,
24/12/2020 21:55,962.03,62.43,1.52,2,4.81,90.76,1.47,742,742,
24/12/2020 22:00,962.11,62.38,1.46,2,4.81,91.97,1.28,735,735,
24/12/2020 22:05,962.44,62.51,1.4,2,4.81,92.15,1.28,739,739,
24/12/2020 22:10,962.36,62.32,1.31,2,4.81,92.05,1.17,738,738,
24/12/2020 22:15,962.68,62.41,1.21,1.75,4.81,92.38,1.19,737,737,
24/12/2020 22:20,962.7,62.52,1.15,1.75,4.81,92.1,1.22,738,738,
24/12/2020 22:25,962.67,62.53,1.12,1.75,4.81,92.13,1.19,739,739,
24/12/2020 22:30,962.7,62.48,1.09,1.75,4.81,92.78,1.08,735,735,
24/12/2020 22:35,962.86,62.46,1.02,1.5,4.81,92.58,1.09,733,733,
24/12/2020 22:40,963.13,62.53,0.97,1.5,4.81,92.88,1.12,735,735,
24/12/2020 22:45,963.01,62.58,0.97,1.5,4.81,93.12,1.07,733,733,
24/12/2020 22:50,963.12,62.47,0.92,1.5,4.81,93.05,1.05,734,734,
24/12/2020 22:55,963.14,62.54,0.89,1.5,4.81,92.58,1.12,729,729,
24/12/2020 23:00,963.27,62.54,0.86,1.5,4.81,93.3,1.05,731,731,
24/12/2020 23:05,963.27,62.54,0.84,1.25,4.81,92.69,1.05,735,735,
24/12/2020 23:10,963.43,62.51,0.78,1.5,4.8,93.16,1.05,733,733,
24/12/2020 23:15,963.45,62.54,0.76,1.25,4.81,93.04,1.04,739,739,
24/12/2020 23:20,963.47,62.61,0.76,1.25,4.8,92.87,1.08,727,727,
24/12/2020 23:25,963.64,62.53,0.76,1.5,4.81,93.15,1.04,734,734,
