1466463858,25.57,0.11,9.36,25.57,-0.95,-0.87,
1466463864,25.46,0.12,10.03,25.57,-0.95,-0.88,
1466463900,25.46,0.10,8.06,25.57,-0.95,-0.88,
1466463913,25.57,0.11,9.14,25.57,-0.95,-0.87,
1466463932,25.57,0.10,8.39,25.57,-0.96,-0.88,
1466463936,25.57,0.16,14.96,25.46,-0.87,-0.80,
1466463939,25.57,0.16,15.89,25.46,-0.90,-0.82,
1466463941,25.46,0.16,14.69,25.57,-0.91,-0.83,
1466463943,25.46,0.17,17.11,25.57,-0.90,-0.82,
1466463946,25.46,0.16,15.22,25.46,-0.90,-0.83,
1466463950,25.57,0.13,11.44,25.57,-0.94,-0.87,
1466463953,25.46,0.14,12.90,25.57,-0.94,-0.86,
1466463954,25.46,0.19,19.95,25.57,-0.94,-0.87,
1466463955,25.46,0.18,18.09,25.57,-0.94,-0.87,
1466463958,25.46,0.15,13.53,25.46,-0.94,-0.86,
1466463960,25.46,0.17,16.70,25.46,-0.91,-0.84,
1466463962,25.46,0.16,15.75,25.46,-0.92,-0.85,
1466463963,25.57,0.18,18.09,25.46,-0.92,-0.85,
1466464020,25.46,0.09,7.34,25.46,-0.95,-0.88,
1466464080,25.57,0.10,7.96,25.57,-0.94,-0.87,
1466464140,25.46,0.10,7.85,25.46,-0.94,-0.87,
1466464200,25.46,0.09,7.14,25.57,-0.95,-0.89,
1466465220,25.46,0.07,4.87,25.57,-1.29,0.10,
1466465700,26.08,0.11,8.73,26.19,-1.30,0.12,
1466465717,26.08,0.10,8.41,26.19,-0.02,-0.39,
1466465723,26.08,0.11,9.50,26.19,0.11,0.03,
1466465727,26.08,0.13,11.23,26.19,0.41,-0.43,
1466465729,26.08,0.15,13.56,26.08,0.41,-0.86,
1466465735,26.08,0.12,9.84,26.19,-0.18,-1.12,
1466465741,26.08,0.12,9.73,26.19,0.00,-0.00,
1466465743,26.08,0.13,12.07,26.19,0.41,-0.18,
1466465746,26.08,0.15,13.56,26.19,0.41,-0.25,
1466465747,26.08,0.15,14.59,26.19,0.41,-0.32,
1466465749,26.08,0.15,14.33,26.08,0.41,-0.82,
1466465752,26.08,0.14,12.19,26.08,0.09,-0.89,
1466465760,25.98,0.11,9.39,26.08,0.03,-0.20,
1466465762,26.08,0.15,14.20,26.08,0.04,-0.03,
1466465820,26.08,0.09,7.27,26.19,-1.24,0.11,
1466465940,26.19,0.09,6.58,26.29,-1.29,0.10,
